year,oni
1999,-0.8516666666666667
2000,-1.2433333333333334
2001,-0.6275000000000001
2002,-0.17416666666666666
2003,0.7941666666666667
2004,0.16583333333333333
2005,0.51
2006,-0.2808333333333333
2007,0.3175
2008,-1.0416666666666667
2009,-0.5983333333333334
2010,0.7658333333333334
2011,-1.0708333333333333
2012,-0.7466666666666667
2013,-0.06999999999999999
2014,-0.31833333333333336
2015,0.3416666666666667
2016,1.8483333333333334
2017,-0.22
2018,-0.3725
2019,0.39416666666666667
2020,0.4077777777777778
