latin_name,year,total_count
Crangon alaskensis,1999,12.02702703
Crangon alaskensis,2000,18.35325812
Crangon alaskensis,2001,5.27027027
Crangon alaskensis,2002,6.621621622
Crangon alaskensis,2003,17.80821918
Crangon alaskensis,2004,19.86486486
Crangon alaskensis,2005,0.810810811
Crangon alaskensis,2006,14.31438127
Crangon alaskensis,2007,4.189189189
Crangon alaskensis,2008,7.972972973
Crangon alaskensis,2009,19.45945946
Crangon alaskensis,2010,35.03826017
Crangon alaskensis,2011,34.70394737
Crangon alaskensis,2012,63.09571755
Crangon alaskensis,2013,45.83949456
Crangon alaskensis,2014,31.12687155
Crangon alaskensis,2015,88.02675585
Crangon alaskensis,2016,101.2032086
Crangon alaskensis,2017,44.7061973
Crangon alaskensis,2018,83.40080972
Crangon alaskensis,2019,80.94594595
Pandalus eous / jordani,1999,7.567567568
Pandalus eous / jordani,2001,5.135135135
Pandalus eous / jordani,2002,14.05405405
Pandalus eous / jordani,2003,46.98630137
Pandalus eous / jordani,2004,0.810810811
Pandalus eous / jordani,2005,13.24324324
Pandalus eous / jordani,2006,25.01672241
Pandalus eous / jordani,2007,12.02702703
Pandalus eous / jordani,2008,32.2972973
Pandalus eous / jordani,2009,22.7027027
Pandalus eous / jordani,2010,29.80265807
Pandalus eous / jordani,2011,16.77631579
Pandalus eous / jordani,2012,13.02188213
Pandalus eous / jordani,2013,144.7775239
Pandalus eous / jordani,2014,78.27685842
Pandalus eous / jordani,2015,161.8729097
Pandalus eous / jordani,2016,211.4973262
Pandalus eous / jordani,2017,110.6946861
Pandalus eous / jordani,2018,55.46558704
Pandalus eous / jordani,2019,121.8918919
Pandalus platyceros,1999,0
Pandalus platyceros,2000,2.020542179
Pandalus platyceros,2001,5.405405405
Pandalus platyceros,2002,0.27027027
Pandalus platyceros,2003,0.136986301
Pandalus platyceros,2004,0.27027027
Pandalus platyceros,2005,7.027027027
Pandalus platyceros,2006,3.47826087
Pandalus platyceros,2007,1.756756757
Pandalus platyceros,2008,8.648648649
Pandalus platyceros,2009,1.216216216
Pandalus platyceros,2010,0.402738623
Pandalus platyceros,2011,17.59868421
Pandalus platyceros,2012,4.430124849
Pandalus platyceros,2013,101.6265627
Pandalus platyceros,2014,37.29971106
Pandalus platyceros,2015,12.04013378
Pandalus platyceros,2016,36.22994652
Pandalus platyceros,2017,52.46954892
Pandalus platyceros,2018,55.60053981
Pandalus platyceros,2019,256.0810811
