genus.species.updated,year,total_count
Crangon alaskensis,1999,89
Crangon alaskensis,2000,109
Crangon alaskensis,2001,39
Crangon alaskensis,2002,49
Crangon alaskensis,2003,130
Crangon alaskensis,2004,147
Crangon alaskensis,2005,6
Crangon alaskensis,2006,107
Crangon alaskensis,2007,31
Crangon alaskensis,2008,59
Crangon alaskensis,2009,144
Crangon alaskensis,2010,261
Crangon alaskensis,2011,211
Crangon alaskensis,2012,470
Crangon alaskensis,2013,341
Crangon alaskensis,2014,237
Crangon alaskensis,2015,658
Crangon alaskensis,2016,757
Crangon alaskensis,2017,334
Crangon alaskensis,2018,618
Crangon alaskensis,2019,596
Eualus pusiolus,2001,2
Eualus pusiolus,2002,12
Eualus pusiolus,2003,64
Eualus pusiolus,2004,8
Eualus pusiolus,2010,62
Eualus suckleyi,2017,1
Eualus suckleyi,2018,5
Eualus townsendi,2018,1
Heptacarpus spp.,2000,1
Hippolytidae,2016,47
Mysida,2018,11
Neotrypaea californiensis,2015,3
Neotrypaea californiensis,2017,1
Pandalopsis dispar,2008,6
Pandalopsis dispar,2009,43
Pandalopsis dispar,2010,41
Pandalopsis dispar,2012,54
Pandalopsis dispar,2013,381
Pandalopsis dispar,2014,155
Pandalopsis dispar,2015,111
Pandalopsis dispar,2016,234
Pandalopsis dispar,2017,56
Pandalopsis dispar,2018,43
Pandalopsis dispar,2019,48
Pandalus danae,1999,1
Pandalus danae,2003,6
Pandalus danae,2006,3
Pandalus danae,2007,13
Pandalus danae,2009,2
Pandalus danae,2010,17
Pandalus danae,2011,4
Pandalus danae,2012,42
Pandalus danae,2013,104
Pandalus danae,2014,130
Pandalus danae,2015,118
Pandalus danae,2016,35
Pandalus danae,2017,34
Pandalus danae,2018,23
Pandalus danae,2019,503
Pandalus dispar,2019,7
Pandalus eous,1999,56
Pandalus eous,2001,38
Pandalus eous,2002,104
Pandalus eous,2003,343
Pandalus eous,2004,6
Pandalus eous,2005,115
Pandalus eous,2006,187
Pandalus eous,2007,89
Pandalus eous,2008,239
Pandalus eous,2009,168
Pandalus eous,2010,222
Pandalus eous,2011,102
Pandalus eous,2012,97
Pandalus eous,2013,1077
Pandalus eous,2014,596
Pandalus eous,2015,1210
Pandalus eous,2016,1582
Pandalus eous,2017,827
Pandalus eous,2018,411
Pandalus eous,2019,902
Pandalus goniurus,2000,329
Pandalus goniurus,2005,2
Pandalus goniurus,2007,35
Pandalus goniurus,2010,1
Pandalus goniurus,2012,64
Pandalus goniurus,2017,1
Pandalus hypsinotus,2016,75
Pandalus hypsinotus,2017,31
Pandalus hypsinotus,2018,125
Pandalus hypsinotus,2019,3
Pandalus platyceros,2000,12
Pandalus platyceros,2001,40
Pandalus platyceros,2002,2
Pandalus platyceros,2003,1
Pandalus platyceros,2004,2
Pandalus platyceros,2005,59
Pandalus platyceros,2006,26
Pandalus platyceros,2007,13
Pandalus platyceros,2008,64
Pandalus platyceros,2009,9
Pandalus platyceros,2010,3
Pandalus platyceros,2011,107
Pandalus platyceros,2012,33
Pandalus platyceros,2013,756
Pandalus platyceros,2014,284
Pandalus platyceros,2015,90
Pandalus platyceros,2016,271
Pandalus platyceros,2017,392
Pandalus platyceros,2018,412
Pandalus platyceros,2019,1895
Pandalus spp.,1999,18
Pandalus spp.,2005,11
Pandalus spp.,2007,91
Pandalus spp.,2008,1
Pandalus spp.,2009,7
Pandalus spp.,2013,1
Pandalus spp.,2016,20
Pandalus spp.,2018,8
Pandalus tridens,2010,3
Spirontocaris holmesi ,2007,29
Spirontocaris holmesi ,2015,119
Spirontocaris holmesi ,2016,79
Spirontocaris holmesi ,2017,101
Spirontocaris holmesi ,2018,26
Spirontocaris lamellicornis,2014,4
Spirontocaris lamellicornis,2015,1
Spirontocaris prionota,2018,1
Spirontocaris prionota,2019,1
Spirontocaris snyderi,2014,2
Spirontocaris snyderi,2015,1
Spirontocaris spp.,2010,3
Spirontocaris spp.,2015,13
unidentified,2019,6
NA,1999,52
NA,2000,5
NA,2001,1
NA,2006,8
NA,2007,29
NA,2008,3
NA,2009,13
NA,2011,17
NA,2012,22
NA,2013,29
NA,2014,1
NA,2015,1
NA,2016,10
