,year,X,time.year.depth,date,time.category,depth.target..m.,group,common.name,genus.species,genus.species.updated,number,CPUE.m2.of.net,shrimp.cpue,avg.oni.previous.12.months,el.nino.la.nina
1,1999,122,early morning_1999_50,14-15May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,8,NA,NA,NA,NA
4,1999,125,early morning_1999_70,14-15May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,35,NA,NA,NA,NA
10,1999,428,morning_1999_10,14-15May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,NA,NA,NA,NA
11,1999,429,morning_1999_50,14-15May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,NA,NA,NA,NA
16,1999,4,afternoon_1999_70,14-15May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,8,NA,NA,NA,NA
17,1999,1,afternoon_1999_10,14-15May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,NA,NA,NA,NA
18,1999,2,afternoon_1999_50,14-15May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,NA,NA,NA,NA
20,1999,564,night_1999_50,14-15May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,9,NA,NA,NA,NA
23,1999,563,night_1999_25,14-15May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,7,NA,NA,NA,NA
25,1999,566,night_1999_70,14-15May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,16,NA,NA,NA,NA
29,2000,283,evening_2000_70,12-13May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,17,1295,0.013127413,-1.241666667,La Nina
31,2000,432,morning_2000_50,12-13May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-1.241666667,La Nina
35,2000,132,early morning_2000_70,12-13May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,29,1295,0.022393822,-1.241666667,La Nina
36,2000,574,night_2000_70,12-13May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,12,1295,0.009266409,-1.241666667,La Nina
37,2000,278,evening_2000_10,12-13May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1295,0.003088803,-1.241666667,La Nina
38,2000,129,early morning_2000_50,12-13May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,9,1295,0.006949807,-1.241666667,La Nina
40,2000,431,morning_2000_10,12-13May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-1.241666667,La Nina
42,2000,127,early morning_2000_10,12-13May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,5,1295,0.003861004,-1.241666667,La Nina
43,2000,128,early morning_2000_25,12-13May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1295,0.003088803,-1.241666667,La Nina
45,2000,569,night_2000_10,12-13May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,18,1295,0.013899614,-1.241666667,La Nina
47,2000,570,night_2000_25,12-13May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-1.241666667,La Nina
49,2000,572,night_2000_50,12-13May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-1.241666667,La Nina
50,2001,287,evening_2001_50,11-12May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-0.566666667,La Nina
54,2001,134,early morning_2001_50,11-12May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-0.566666667,La Nina
55,2001,577,night_2001_25,11-12May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-0.566666667,La Nina
56,2001,285,evening_2001_25,11-12May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.566666667,La Nina
58,2001,137,early morning_2001_70,11-12May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,23,1295,0.017760618,-0.566666667,La Nina
63,2001,8,afternoon_2001_70,11-12May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.566666667,La Nina
65,2001,578,night_2001_70,11-12May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.566666667,La Nina
66,2001,435,morning_2001_70,11-12May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.566666667,La Nina
70,2002,290,evening_2002_10,17-18May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.125,no signal
71,2002,292,evening_2002_50,17-18May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-0.125,no signal
73,2002,293,evening_2002_70,17-18May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,6,1295,0.004633205,-0.125,no signal
74,2002,141,early morning_2002_50,17-18May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.125,no signal
76,2002,440,morning_2002_70,17-18May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,13,1295,0.01003861,-0.125,no signal
