genus,year,total_count
Crangon,1999,89
Crangon,2000,109
Crangon,2001,39
Crangon,2002,49
Crangon,2003,130
Crangon,2004,147
Crangon,2005,6
Crangon,2006,107
Crangon,2007,31
Crangon,2008,59
Crangon,2009,144
Crangon,2010,261
Crangon,2011,211
Crangon,2012,470
Crangon,2013,341
Crangon,2014,237
Crangon,2015,658
Crangon,2016,757
Crangon,2017,334
Crangon,2018,618
Crangon,2019,596
Pandalus,1999,75
Pandalus,2000,341
Pandalus,2001,78
Pandalus,2002,106
Pandalus,2003,350
Pandalus,2004,8
Pandalus,2005,187
Pandalus,2006,216
Pandalus,2007,241
Pandalus,2008,304
Pandalus,2009,186
Pandalus,2010,246
Pandalus,2011,213
Pandalus,2012,236
Pandalus,2013,1938
Pandalus,2014,1010
Pandalus,2015,1418
Pandalus,2016,1983
Pandalus,2017,1285
Pandalus,2018,979
Pandalus,2019,3310
