month,day,time category,year,depth target (m),time.year.depth,trawl distance (m),net opening(m)
5,13,early morning,2000,10,early morning_2000_10,370,3.5
5,13,early morning,2000,25,early morning_2000_25,370,3.5
5,13,early morning,2000,50,early morning_2000_50,370,3.5
5,13,early morning,2000,70,early morning_2000_70,370,3.5
5,12,evening,2000,10,evening_2000_10,370,3.5
5,12,evening,2000,25,evening_2000_25,370,3.5
5,12,evening,2000,50,evening_2000_50,389,3.5
5,12,evening,2000,70,evening_2000_70,370,3.5
5,13,morning,2000,10,morning_2000_10,370,3.5
5,13,morning,2000,25,morning_2000_25,370,3.5
5,13,morning,2000,50,morning_2000_50,370,3.5
5,13,morning,2000,70,morning_2000_70,370,3.5
5,12,night,2000,10,night_2000_10,370,3.5
5,12,night,2000,25,night_2000_25,370,3.5
5,12,night,2000,50,night_2000_50,370,3.5
5,13,night,2000,70,night_2000_70,370,3.5
5,11,afternoon,2001,10,afternoon_2001_10,370,3.5
5,11,afternoon,2001,25,afternoon_2001_25,370,3.5
5,11,afternoon,2001,50,afternoon_2001_50,370,3.5
5,11,afternoon,2001,70,afternoon_2001_70,370,3.5
5,12,early morning,2001,10,early morning_2001_10,370,3.5
5,12,early morning,2001,25,early morning_2001_25,370,3.5
5,12,early morning,2001,50,early morning_2001_50,370,3.5
5,12,early morning,2001,70,early morning_2001_70,370,3.5
5,11,evening,2001,10,evening_2001_10,370,3.5
5,11,evening,2001,25,evening_2001_25,370,3.5
5,11,evening,2001,50,evening_2001_50,370,3.5
5,11,evening,2001,70,evening_2001_70,370,3.5
5,12,morning,2001,10,morning_2001_10,370,3.5
5,12,morning,2001,25,morning_2001_25,370,3.5
5,12,morning,2001,50,morning_2001_50,370,3.5
5,12,morning,2001,70,morning_2001_70,370,3.5
5,12,night,2001,10,night_2001_10,370,3.5
5,12,night,2001,25,night_2001_25,370,3.5
5,12,night,2001,50,night_2001_50,370,3.5
5,12,night,2001,70,night_2001_70,370,3.5
5,17,afternoon,2002,10,afternoon_2002_10,370,3.5
5,17,afternoon,2002,25,afternoon_2002_25,370,3.5
5,17,afternoon,2002,50,afternoon_2002_50,370,3.5
5,17,afternoon,2002,70,afternoon_2002_70,370,3.5
5,18,early morning,2002,10,early morning_2002_10,370,3.5
5,18,early morning,2002,25,early morning_2002_25,370,3.5
5,18,early morning,2002,50,early morning_2002_50,370,3.5
5,18,early morning,2002,70,early morning_2002_70,370,3.5
5,17,evening,2002,10,evening_2002_10,370,3.5
5,17,evening,2002,25,evening_2002_25,370,3.5
5,17,evening,2002,50,evening_2002_50,370,3.5
5,17,evening,2002,70,evening_2002_70,370,3.5
