station name,date,time,time category,depth (m),tide (m),depth (MLLW) (m),depth target,wire out (m),Latitude,Longitude,trawl distance (m),net opening(m)
Station No. 1.1,2000-05-12,6:16:00 PM,evening,10.2,0.6,9.6,10,250,47 44.167,122 32.828,370,3.5
Station No. 1.2,2000-05-12,11:04:00 PM,night,12,2.2,9.8,10,250,47 44.232,122 32.814,370,3.5
Station No. 1.3,2000-05-13,4:04:00 AM,early morning,12,3,9,10,250,47 44.199,122 32.832,370,3.5
Station No. 1.4,2000-05-13,9:13:00 AM,morning,12,1,11,10,250,47 44.129,122 32.820,370,3.5
Station No. 2.1,2000-05-12,6:37:00 PM,evening,24,0.6,23.4,25,500,47 44.173,122 32.695,370,3.5
Station No. 2.2,2000-05-12,11:20:00 PM,night,25,2.4,22.6,25,500,47 44.158,122 32.712,370,3.5
Station No. 2.3,2000-05-13,4:21:00 AM,early morning,25,3.1,21.9,25,500,47 44.170,122 32.713,370,3.5
Station No. 2.4,2000-05-13,9:30:00 AM,morning,24,1,23,25,500,47 44.135,122 32.712,370,3.5
Station No. 3.1,2000-05-12,6:57:30 PM,evening,49,0.6,48.4,50,900,47 43.270,122 31.751,389,3.5
Station No. 3.2,2000-05-12,11:44:00 PM,night,50,2.7,47.3,50,900,47 43.171,122 31.738,370,3.5
Station No. 3.3,2000-05-13,4:43:00 AM,early morning,50,2.9,47.1,50,900,47 43.240,122 31.754,370,3.5
Station No. 3.4,2000-05-13,9:51:00 AM,morning,53,1.1,51.9,50,900,47 43.243,122 31.733,370,3.5
Station No. 4.1,2000-05-12,7:26:00 PM,evening,45,0.6,44.4,70,1200,47 43.057,122 31.295,370,3.5
Station No. 4.2,2000-05-13,12:11:00 AM,night,43,3,40,70,1200,47 43.013,122 31.285,370,3.5
Station No. 4.3,2000-05-13,5:07:00 AM,early morning,56,2.6,53.4,70,1200,47 43.090,122 31.275,370,3.5
Station No. 4.4,2000-05-13,10:30:00 AM,morning,54,1.3,52.7,70,1200,47 43.112,122 31.300,370,3.5
Station No. 1.1,2001-05-11,3:55:00 PM,afternoon,10.5,0.1,10.4,10,250,47 44.226,122 32.816,370,3.5
Station No. 2.1,2001-05-11,3:36:27 PM,afternoon,23,0,23,25,500,47 44.180,122 32.715,370,3.5
Station No. 3.1,2001-05-11,4:16:55 PM,afternoon,46.2,0.1,46.1,50,900,47 43.262,122 31.765,370,3.5
Station No. 4.1,2001-05-11,5:08:00 PM,afternoon,67,0.5,66.5,70,1200,47 43.253,122 31.314,370,3.5
Station No. 1.2,2001-05-11,8:15:00 PM,evening,13.3,3,10.3,10,290,47 44.194,122 32.821,370,3.5
Station No. 2.2,2001-05-11,8:32:00 PM,evening,25,3.2,21.8,25,500,47 44.136,122 32.733,370,3.5
Station No. 3.2,2001-05-11,8:55:00 PM,evening,53.7,3.3,50.4,50,900,47 43.205,122 31.741,370,3.5
Station No. 4.2,2001-05-11,9:35:00 PM,evening,70,3.4,66.6,70,1200,47 43.248,122 31.297,370,3.5
